category,url,title,suggested_action
ClubTLT,/blog/2015/club-tlt,,ClubTLT post — replace with new ClubTLT page
ClubTLT,/blog/2016/like-you-like-it-presented-by-clubtlt,,ClubTLT post — replace with new ClubTLT page
ClubTLT,/blog/2017/club-tlt-spring-recital,,ClubTLT post — replace with new ClubTLT page
ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production,,ClubTLT post — replace with new ClubTLT page
ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production-frlk2,,ClubTLT post — replace with new ClubTLT page
ClubTLT,/blog/2017/cyrano-de-burger-shack-a-clubtlt-summer-production-frlk2-z29c7,,ClubTLT post — replace with new ClubTLT page
audition post,/blog/2015/97th-season-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2015/97th-season-auditions-1,,Outdated audition announcement — likely skip
audition post,/blog/2015/rabbit-hole-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2015/second-samuel-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2015/smokey-joes-cafe-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2015/the-last-night-of-ballyhoo-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/dracula-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/gypsy-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/miracle-on-34th-street-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/of-mice-and-men-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/the-underpants-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2016/vanya-and-sonia-and-masha-and-spike-auditions,,Outdated audition announcement — likely skip
audition post,/blog/2017/audition-master-class-with-kip-niven,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-blithe-spirit,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-exit-laughing,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-jcs,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-lesser-god,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-rumors,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditions-for-seussical,,Outdated audition announcement — likely skip
audition post,/blog/2017/auditionspillow,,Outdated audition announcement — likely skip
audition post,/blog/2018/auditions-for-macbeth,,Outdated audition announcement — likely skip
audition post,/blog/2018/auditionsbellbookcandle,,Outdated audition announcement — likely skip
audition post,/blog/2018/auditionsforeigner,,Outdated audition announcement — likely skip
audition post,/blog/2018/auditionsveteransday,,Outdated audition announcement — likely skip
audition post,/blog/2018/calendarauditions,,Outdated audition announcement — likely skip
audition post,/blog/2018/dollshouseaudition,,Outdated audition announcement — likely skip
audition post,/blog/2018/dollshouseaudition-jpanj,,Outdated audition announcement — likely skip
audition post,/blog/2018/lauraauditions,,Outdated audition announcement — likely skip
audition post,/blog/2018/lauraauditions-af84x,,Outdated audition announcement — likely skip
audition post,/blog/2018/scroogeaudition,,Outdated audition announcement — likely skip
audition post,/blog/2019/choruslineaudition,,Outdated audition announcement — likely skip
audition post,/blog/2019/choruslineaudition-rr6em,,Outdated audition announcement — likely skip
audition post,/blog/2019/evildeadauditions,,Outdated audition announcement — likely skip
audition post,/blog/2019/holmesauditions,,Outdated audition announcement — likely skip
audition post,/blog/2019/holmesauditions-nf2bd,,Outdated audition announcement — likely skip
audition post,/blog/2019/shatteringauditions-5n88x,,Outdated audition announcement — likely skip
audition post,/blog/2019/sophieauditions,,Outdated audition announcement — likely skip
audition post,/blog/2019/termsaudition,,Outdated audition announcement — likely skip
audition post,/blog/2019/termsaudition-8fkje,,Outdated audition announcement — likely skip
audition post,/blog/2020/hanukkahauditions,,Outdated audition announcement — likely skip
audition post,/blog/2020/pageauditions,,Outdated audition announcement — likely skip
audition post,/blog/2021/rewildaudition,,Outdated audition announcement — likely skip
audition post,/blog/springawakeningauditioninfo,,Outdated audition announcement — likely skip
board profile,/blog/board/em,,Individual staff/board page
board profile,/blog/board/kay,,Individual staff/board page
board profile,/blog/board/kay-emp99,,Individual staff/board page
board profile,/blog/board/kay-njsdj,,Individual staff/board page
board profile,/blog/board/kay-rdzag,,Individual staff/board page
board profile,/blog/board/leah,,Individual staff/board page
board profile,/blog/board/sam,,Individual staff/board page
board profile,/blog/board/trevor,,Individual staff/board page
category index,/blog/category/95th+Season,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/96th+Season,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/98th+Season,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Auditions,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Board,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/DEI,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Education+Program,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Historical+Shows,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Jobs,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Main,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Now+Playing,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Off+the+Shelf,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Other+Shows,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Other+Theatre+Shows,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Press,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Staff,,Squarespace tag/category index — skip (auto-generated)
category index,/blog/category/Sticky,,Squarespace tag/category index — skip (auto-generated)
covid notice,/blog/2019/covid19,,Outdated COVID notice — skip
covid notice,/blog/2019/covid19-38xd9,,Outdated COVID notice — skip
