decision,category,old_url,new_url,real_name_from_note,title,cancelled
keep,board profile,/blog/board/kay,/team/kay-meier/,,"KAY MEIER, SECRETARY",False
keep,board profile,/blog/board/kay-emp99,/team/judy-zerzan-thul/,,JUDY ZERZAN-THUL,False
keep,board profile,/blog/board/kay-njsdj,/team/athena-hitson/,,"ATHENA HITSON, CO-TREASURER",False
keep,board profile,/blog/board/kay-rdzag,/team/libby-lindstrom/,,LIBBY LINDSTROM,False
keep,board profile,/blog/board/leah,/team/leah-hole-marshall/,,LEAH HOLE-MARSHALL,False
keep,board profile,/blog/board/trevor,/team/trevor-owens/,,"TREVOR OWENS, CO-TREASURER",False
keep,category index,/blog/category/95th+Season,/news/category/95th-season/,for,95th Season — Blog,False
keep,category index,/blog/category/96th+Season,/news/category/96th-season/,for,96th Season — Blog,False
keep,category index,/blog/category/Board,/news/category/board/,,Board — Blog,False
keep,category index,/blog/category/Education+Program,/news/category/education-program/,,Education Program — Blog,False
keep,category index,/blog/category/Historical+Shows,/news/category/historical-shows/,2012-2013,Historical Shows — Blog,False
keep,category index,/blog/category/Jobs,/news/category/jobs/,,Jobs — Blog,False
keep,category index,/blog/category/Off+the+Shelf,/news/category/off-the-shelf/,,Off the Shelf — Blog,False
keep,category index,/blog/category/Press,/news/category/press/,,Press — Blog,False
keep,category index,/blog/category/Staff,/news/category/staff/,,Staff — Blog,False
keep,core,/auditions,/auditions,,Auditions,False
keep,core,/blog,/news/,,,False
keep,core,/board-and-staff,/board-and-staff,,Board of Directors & Staff,False
keep,core,/clubtlt,/clubtlt,,ClubTLT,False
keep,core,/contact,/contact,,Contact & Transportation,False
keep,core,/cover,/,,Tacoma Little Theatre,False
keep,core,/education,/education,,About the Program,False
keep,core,/flush,/flush,,Flush Campaign,False
keep,core,/history,/history,,History,False
keep,core,/home,/,,Home,False
keep,core,/job-openings,/job-openings,,Job Openings,False
keep,core,/off-the-shelf,/off-the-shelf,,OFF THE SHELF,False
keep,core,/parking-information,/parking-information,,Parking Information,False
keep,core,/press,/press,,Press,False
keep,core,/recorded-programs,/recorded-programs,,Recorded Programs,False
keep,core,/students-on-stage,/students-on-stage,,STUDENTS ON STAGE,False
keep,core,/ticketinfo,/ticketinfo,,Ticket Information & Policies,False
keep,core,/volunteer,/volunteer,,Volunteer,False
keep,decade page,/blog/2015/1918-1930,/shows/legacy/1918-1930/,,1918-1930,False
keep,decade page,/blog/2015/1930-1940,/shows/legacy/1930-1940/,,1930-1940,False
keep,decade page,/blog/2015/1940-1950,/shows/legacy/1940-1950/,,1940-1950,False
keep,decade page,/blog/2015/1950-1960,/shows/legacy/1950-1960/,,1950-1960,False
keep,decade page,/blog/2015/1960-1970,/shows/legacy/1960-1970/,,1960-1970,False
keep,decade page,/blog/2015/1970-1980,/shows/legacy/1970-1980/,,1970-1980,False
keep,decade page,/blog/2015/1980-1990,/shows/legacy/1980-1990/,,1980-1990,False
keep,decade page,/blog/2015/1990-2000,/shows/legacy/1990-2000/,,1990-2000,False
keep,decade page,/blog/2015/2000-2010,/shows/legacy/2000-2010/,,2000-2010,False
keep,decade page,/blog/2015/2010-2011,/shows/legacy/2010-2011/,,2010-2011,False
keep,decade page,/blog/2015/2011-2012,/shows/legacy/2011-2012/,,2011-2012,False
keep,decade page,/blog/2015/2012-2013,/shows/legacy/2012-2013/,,2012-2013,False
keep,modern_show,/blog/20182019/bellbookcandle,/shows/2018-2019/bell-book-and-candle-page/,Bell book and candle page,"Bell, Book and Candle",False
keep,modern_show,/blog/20182019/dollshouse,/shows/2018-2019/a-dolls-house-page/,a doll's house page,A Doll's House,False
keep,modern_show,/blog/20182019/foreigner,/shows/2018-2019/foreigner-page/,foreigner page,The Foreigner,False
keep,modern_show,/blog/20182019/hayfever,/shows/2018-2019/hay-fever-page/,hay fever page,Hay Fever,False
keep,modern_show,/blog/20182019/laura,/shows/2018-2019/laura-page/,laura page,Laura,False
keep,modern_show,/blog/20182019/nightmusic,/shows/2018-2019/a-little-night-music-page/,a little night music page,A Little Night Music,False
keep,modern_show,/blog/20182019/scrooge,/shows/2018-2019/scrooge-the-musical-page/,Scrooge the musical page,Scrooge!  The Musical,False
keep,modern_show,/blog/20182019/sophie,/shows/2018-2019/sophie-page/,Sophie page,Sophie,False
keep,modern_show,/blog/20192020/calendargirls,/shows/2019-2020/calendar-girls-page/,Calendar girls page,Calendar Girls,False
keep,modern_show,/blog/20192020/chorusline,/shows/2019-2020/a-chorus-line-page/,A chorus line page,A CHORUS LINE,False
keep,modern_show,/blog/20192020/chorusline-fnlh3,/shows/2019-2020/terms-of-endearment-page/,Terms of endearment page,TERMS OF ENDEARMENT,True
keep,modern_show,/blog/20192020/chorusline-fnlh3-akhpz,/shows/2019-2020/manchurian-candidate-page/,manchurian candidate page,THE MANCHURIAN CANDIDATE,True
keep,modern_show,/blog/20192020/evildead,/shows/2019-2020/evil-dead-page/,Evil dead page,Evil Dead: The Musical,False
keep,modern_show,/blog/20192020/holmes,/shows/2019-2020/holmes-for-the-holidays-page/,holmes for the holidays page,Holmes for the Holidays,False
keep,modern_show,/blog/20192020/holmes-gaf4k,/shows/2019-2020/twas-the-night-before-christmas-page/,Twas the night before christmas page,'Twas the Night Before Christmas,False
keep,modern_show,/blog/20192020/shattering,/shows/2019-2020/shattering-page/,Shattering page,Shattering,False
keep,modern_show,/blog/20212022/clue,/shows/2021-2022/clue-page/,Clue Page,Clue: On Stage,False
keep,modern_show,/blog/20212022/clue-633y7,/shows/2021-2022/a-chorus-line-page/,A chorus line page,A Chorus Line,False
keep,modern_show,/blog/20212022/clue-anzln,/shows/2021-2022/silent-sky-page/,Silent sky page,Silent Sky,False
keep,modern_show,/blog/20212022/clue-anzln-g52ct,/shows/2021-2022/happiest-song-plays-last-page/,happiest song plays last page,The Happiest Song Plays Last,False
keep,modern_show,/blog/20212022/clue-anzln-g52ct-dwpf6,/shows/2021-2022/luck-of-the-irish-page/,luck of the irish page,The Luck of the Irish,False
keep,modern_show,/blog/20212022/clue-rhe7l,/shows/2021-2022/wizard-of-oz-page/,Wizard of oz page,The Wizard of OZ,False
keep,modern_show,/blog/20212022/terms,/shows/2021-2022/terms-of-endearment-page/,Terms of Endearment Page,Terms of Endearment,False
keep,modern_show,/blog/20222023/murder,/shows/2022-2023/murder-on-the-orient-express/,,Murder on the Orient Express,False
keep,modern_show,/blog/20222023/poboy,/shows/2022-2023/po-boy-tango/,,Po Boy Tango,False
keep,modern_show,/blog/20222023/rock,/shows/2022-2023/rock-of-ages/,,Rock of Ages,False
keep,modern_show,/blog/20222023/seasontix,/shows/2022-2023/2026-2027-season-tickets/,,2026-2027 SEASON TICKETS,False
keep,modern_show,/blog/20222023/shawshank,/shows/2022-2023/the-shawshank-redemption/,,The Shawshank Redemption,False
keep,modern_show,/blog/20222023/significant,/shows/2022-2023/significant-other/,,Significant Other,False
keep,modern_show,/blog/20222023/steel,/shows/2022-2023/steel-magnolias/,,Steel Magnolias,False
keep,modern_show,/blog/20222023/xmasstory,/shows/2022-2023/a-christmas-story/,,A Christmas Story,False
keep,modern_show,/blog/20232024/almostmaine,/shows/2023-2024/almost-maine/,,"ALMOST, MAINE",False
keep,modern_show,/blog/20232024/dollshouse2,/shows/2023-2024/a-dolls-house-part-2/,,"A DOLL'S HOUSE, PART 2",False
keep,modern_show,/blog/20232024/misery,/shows/2023-2024/misery/,,MISERY,False
keep,modern_show,/blog/20232024/mississippi,/shows/2023-2024/from-the-mississippi-delta/,,FROM THE MISSISSIPPI DELTA,False
keep,modern_show,/blog/20232024/rent,/shows/2023-2024/rent/,,RENT,False
keep,modern_show,/blog/20232024/rudolph,/shows/2023-2024/rudolph-the-red-nosed-reindeer/,,RUDOLPH THE RED-NOSED REINDEER,False
keep,modern_show,/blog/20232024/wrong,/shows/2023-2024/the-play-that-goes-wrong/,,THE PLAY THAT GOES WRONG,False
keep,modern_show,/blog/20242025/bug,/shows/2024-2025/bug/,,BUG,False
keep,modern_show,/blog/20242025/curious,/shows/2024-2025/the-curious-incident-of-the-dog-in-the-night-time/,,THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,False
keep,modern_show,/blog/20242025/curious-y7xjc,/shows/2024-2025/lorca-in-a-green-dress/,,LORCA IN A GREEN DRESS,False
keep,modern_show,/blog/20242025/fiddler,/shows/2024-2025/fiddler-on-the-roof/,,FIDDLER ON THE ROOF,False
keep,modern_show,/blog/20242025/mousetrap,/shows/2024-2025/the-mousetrap/,,THE MOUSETRAP,False
keep,modern_show,/blog/20242025/oneman,/shows/2024-2025/one-man-two-guvnors/,,"ONE MAN, TWO GUVNORS",False
keep,modern_show,/blog/20242025/oneman-4w9jr,/shows/2024-2025/put-in-dont-know-however-this-is-only-because-we-are-doing-this-show-again-in-december-and-may-want-this-to-copy-and-paste-content/,Put in don't know. However this is only because we are doing this show again in December and may want this to copy and paste content,A CHRISTMAS CAROL STARRING ALLEN FITZPATRICK,False
keep,modern_show,/blog/20242025/rocky,/shows/2024-2025/rocky/,,ROCKY,False
keep,modern_show,/blog/20252026/bedroom,/shows/2025-2026/bedroom-farce/,,BEDROOM FARCE,False
keep,modern_show,/blog/20252026/davinci,/shows/2025-2026/the-da-vinci-code/,,THE DA VINCI CODE,False
keep,modern_show,/blog/20252026/matilda,/shows/2025-2026/matilda/,,MATILDA,False
keep,modern_show,/blog/20252026/productionteam,/shows/2025-2026/now-hiring-production-team-members-for-2026-2027/,,NOW HIRING-PRODUCTION TEAM MEMBERS FOR 2026-2027,False
keep,modern_show,/blog/20252026/sotto,/shows/2025-2026/sotto-voce/,,SOTTO VOCE,False
keep,modern_show,/blog/20252026/spring,/shows/2025-2026/spring-awakening/,,SPRING AWAKENING,False
keep,modern_show,/blog/20252026/spring-bpb9w,/shows/2025-2026/the-mountaintop/,,THE MOUNTAINTOP,False
keep,modern_show,/blog/20252026/summercamp,/shows/2025-2026/depending-on-when-the-site-is-launched-we-may-just-need-this-info/,Depending on when the site is launched we may just need this info,Summer Camp @ TLT,False
keep,modern_show,/blog/20252026/timemachine,/shows/2025-2026/the-time-machine/,,THE TIME MACHINE,False
keep,old show/news,/blog/2015/a-christmas-story,/shows/legacy/a-christmas-story/,A christmas story,A Christmas Story,False
keep,old show/news,/blog/2015/a-midsummer-nights-dream,/shows/legacy/a-midsummer-nights-dream/,a midsummer nights dream,A Midsummer Night's Dream,False
keep,old show/news,/blog/2015/amazon-smile,/shows/legacy/amazon-smile/,,Amazon Smile,False
keep,old show/news,/blog/2015/boeing-boeing,/shows/legacy/boeing-boeing/,Boeing Boeing,Boeing Boeing,False
keep,old show/news,/blog/2015/bye-bye-birdie,/shows/legacy/bye-bye-birdie/,bye bye birdie,Bye Bye Birdie,False
keep,old show/news,/blog/2015/cabaret,/shows/legacy/cabaret/,Cabaret,Cabaret,False
keep,old show/news,/blog/2015/cabaret-pictures-1,/shows/legacy/cabaret-pictures/,,Cabaret Pictures,False
keep,old show/news,/blog/2015/chapter-two,/shows/legacy/chapter-two/,Chapter two,Chapter Two,False
keep,old show/news,/blog/2015/dial-m-for-murder,/shows/legacy/dial-m-for-murder/,Dial M for murder,"Dial ""M"" For Murder",False
keep,old show/news,/blog/2015/fred-meyer-community-rewards-helps-tlt,/shows/legacy/fred-meyer-community-rewards/,,Fred Meyer Community Rewards,False
keep,old show/news,/blog/2015/its-a-wonderful-life,/shows/legacy/its-a-wonderful-life/,Its a wonderful life,It's a Wonderful Life,False
keep,old show/news,/blog/2015/managing-artistic-director,/team/current-managing-artistic-director-links-says-it-is-from-2015/,"Current managing artistic director, links says it is from 2015","Chris Serface, Managing Artistic Director",False
keep,old show/news,/blog/2015/moonlight-and-magnolias,/shows/legacy/moonlight-and-magnolias/,Moonlight and magnolias,Moonlight and Magnolias,False
keep,old show/news,/blog/2015/nick,/team/current-ed-director/,Current ed director,"NICK FITZGERALD, EDUCATION DIRECTOR",False
keep,old show/news,/blog/2015/office-manager-373ag-9pnef-aclg5,/team/current-lead-carpenter/,Current Lead Carpenter,"FRANK ROBERTS, LEAD CARPENTER",False
keep,old show/news,/blog/2015/office-manager-373ag-9pnef-aclg5-6l825,/team/current-box-office-lead/,current box office lead,"EMMA DELOYE, BOX OFFICE Lead",False
keep,old show/news,/blog/2015/office-manager-373ag-9pnef-aclg5-p78cz,/team/current-shop-technician/,Current Shop Technician,"THOMAS ROBINSON, SHOP TECHNICIAN",False
keep,old show/news,/blog/2015/office-manager-lyb47,/team/current-development-director/,Current Development director,"DIANA GEORGE, DEVELOPMENT DIRECTOR",False
keep,old show/news,/blog/2015/picasso-at-the-lapin-agile,/shows/legacy/picasso-at-the-lapin-agile/,Picasso at the lapin agile,Picasso at the Lapin Agile,False
keep,old show/news,/blog/2015/rabbit-hole,/shows/legacy/rabbit-hole/,Rabbit hole,Rabbit Hole,False
keep,old show/news,/blog/2015/scrooge-the-musical,/shows/legacy/scrooge/,Scrooge,Scrooge! The Musical,False
keep,old show/news,/blog/2015/second-samuel,/shows/legacy/second-samuel/,Second Samuel,Second Samuel,False
keep,old show/news,/blog/2015/smokey-joes-cafe,/shows/legacy/smokey-joes-cafe/,Smokey joes cafe,Smokey Joe's Cafe,False
keep,old show/news,/blog/2015/steele-magnolias,/shows/legacy/steel-magnolias/,Steel Magnolias,Steel Magnolias,False
keep,old show/news,/blog/2015/tania,/shows/legacy/maria-tania-bandes-b-weingarden/,,"MARIA-TANIA BANDES B. WEINGARDEN, PRESIDENT",False
keep,old show/news,/blog/2015/technical-director,/team/me-current-technical-director/,"Me, current Technical director","BLAKE R. YORK, TECHNICAL DIRECTOR",False
keep,old show/news,/blog/2015/the-complete-works-of-william-shakespeare-abridged-revised,/shows/legacy/complete-works-of/,complete works of,The Complete Works of William Shakespeare Abridged Revised,False
keep,old show/news,/blog/2015/the-fox-on-the-fairway,/shows/legacy/fox-on-the-fairway/,fox on the fairway,The Fox on the Fairway,False
keep,old show/news,/blog/2015/the-great-gatsby,/shows/legacy/great-gatsby/,great gatsby,The Great Gatsby,False
keep,old show/news,/blog/2015/the-last-night-of-ballyhoo,/shows/legacy/last-night-of-ballyhoo/,last night of ballyhoo,The Last Night of Ballyhoo,False
keep,old show/news,/blog/2015/the-weir,/shows/legacy/weir/,weir,The Weir,False
keep,old show/news,/blog/2015/to-kill-a-mockingbird,/shows/legacy/to-kill-a-mockingbird/,To kill a mockingbird,To Kill a Mockingbird,False
keep,old show/news,/blog/2015/vanya-sonia-masha-and-spike,/shows/legacy/vanya-and-sonia-and-masha-and-spike/,vanya and sonia and masha and spike,Vanya and Sonia and Masha and Spike,False
keep,old show/news,/blog/2016/dracula,/shows/legacy/dracula/,Dracula,Dracula,False
keep,old show/news,/blog/2016/exit-laughing,/shows/legacy/exit-laughing/,Exit laughing,Exit Laughing,False
keep,old show/news,/blog/2016/gypsy,/shows/legacy/gypsy/,Gypsy,Gypsy,False
keep,old show/news,/blog/2016/miracle-on-34th-street,/shows/legacy/miracle-on-34th-street/,Miracle on 34th street,Miracle on 34th Street,False
keep,old show/news,/blog/2016/of-mice-and-men,/shows/legacy/mice-and-men/,mice and men,Of Mice and Men,False
keep,old show/news,/blog/2016/parking,/shows/legacy/parking/,,Parking,False
keep,old show/news,/blog/2016/the-man-who-shot-liberty-valance-1,/shows/legacy/man-who-shot-liberty-valance/,man who shot liberty valance,The Man Who Shot Liberty Valance,False
keep,old show/news,/blog/2016/the-underpants,/shows/legacy/underpants/,underpants,The Underpants,False
keep,old show/news,/blog/2016/the-underpants-5ypj7,/shows/legacy/rumors/,Rumors,Rumors,False
keep,old show/news,/blog/2016/the-underpants-5ypj7-em9m8,/shows/legacy/seussical/,seussical,Seussical,False
